"","namePlayer","yearSeason","nplayed","TTLpts","TTLast","AVGpts","AVGast"
"1","Chris Paul",2010,45,841,480,18.6888888888889,10.6666666666667
"2","Chris Paul",2011,80,1268,782,15.85,9.775
"3","Chris Paul",2012,60,1189,543,19.8166666666667,9.05
"4","Chris Paul",2013,70,1186,678,16.9428571428571,9.68571428571429
"5","Chris Paul",2014,62,1185,663,19.1129032258065,10.6935483870968
"6","Chris Paul",2015,82,1564,838,19.0731707317073,10.219512195122
"7","Chris Paul",2016,74,1446,738,19.5405405405405,9.97297297297297
"8","Chris Paul",2017,61,1104,563,18.0983606557377,9.22950819672131
"9","Chris Paul",2018,58,1081,457,18.6379310344828,7.87931034482759
"10","Chris Paul",2019,58,906,473,15.6206896551724,8.1551724137931
"11","Stephen Curry",2010,80,1399,472,17.4875,5.9
"12","Stephen Curry",2011,74,1373,432,18.5540540540541,5.83783783783784
"13","Stephen Curry",2012,26,383,138,14.7307692307692,5.30769230769231
"14","Stephen Curry",2013,78,1786,539,22.8974358974359,6.91025641025641
"15","Stephen Curry",2014,78,1873,666,24.0128205128205,8.53846153846154
"16","Stephen Curry",2015,80,1900,619,23.75,7.7375
"17","Stephen Curry",2016,79,2375,527,30.0632911392405,6.67088607594937
"18","Stephen Curry",2017,79,1999,524,25.3037974683544,6.63291139240506
"19","Stephen Curry",2018,51,1346,310,26.3921568627451,6.07843137254902
"20","Stephen Curry",2019,69,1881,361,27.2608695652174,5.23188405797101
"21","LeBron James",2010,76,2258,651,29.7105263157895,8.56578947368421
"22","LeBron James",2011,79,2111,554,26.7215189873418,7.0126582278481
"23","LeBron James",2012,62,1683,387,27.1451612903226,6.24193548387097
"24","LeBron James",2013,76,2036,551,26.7894736842105,7.25
"25","LeBron James",2014,77,2089,488,27.1298701298701,6.33766233766234
"26","LeBron James",2015,69,1743,511,25.2608695652174,7.40579710144928
"27","LeBron James",2016,76,1920,514,25.2631578947368,6.76315789473684
"28","LeBron James",2017,74,1954,646,26.4054054054054,8.72972972972973
"29","LeBron James",2018,82,2251,747,27.4512195121951,9.10975609756098
"30","LeBron James",2019,55,1505,454,27.3636363636364,8.25454545454545
